name,code,latitude,longitude,saved,id
Ireland,IE,52.865196,-7.9794599,true,132
Maldives,MV,3.7203503,73.2244152,false
British Virgin Islands,VG,18.4024395,-64.5661642,true,133
Belize,BZ,16.8259793,-88.7600927,true,134
Namibia,NA,-23.2335499,17.3231107,true,135
Curacao,CW,12.1176488,-68.9309263,false
Greece,GR,38.9953683,21.9877132,true,136
Bermuda,BM,32.2937417,-64.7815286,false
Mexico,MX,23.6585116,-102.0077097,true,137
