name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
name,country,latitude,longitude,saved,id
Al-Qassim Province,Saudi Arabia,26.1942235,43.4565711,true,106
Western,Fiji,-17.74939895,177.45294130551258,true,107
South Miladhunmadulu,Maldives,5.786755,73.4184335748727,true,108
North Huvadhu Atoll,Maldives,0.9829526500000001,73.2780939346289,true,109
Baja California Sur,Mexico,25.5818014,-111.5706164,true,110
Bahia,Brazil,-12.285251,-41.9294776,true,111
Galápagos,Ecuador,-0.0606899,-90.673898,true,112
Rio de Janeiro,Brazil,-22.9110137,-43.2093727,true,113
San Juan-Laventille,Trinidad and Tobago,10.675606649999999,-61.47101539649948,true,114
Guernsey,Guernsey,49.4566233,-2.5822348,true,115
Kolhumadulu,Maldives,2.1461655,73.02882449968283,true,116
28063,South Korea,36.66009757073171,127.73727762195122,true,117
Victoria,Australia,-36.5986096,144.6780052,true,118
Zacatecas,Mexico,23.0916177,-102.9333954,true,119
Guadeloupe,France,16.2528827,-61.5686855,true,120
Quintana Roo,Mexico,19.6666671,-88.5000001,true,121
KwaZulu-Natal,South Africa,-28.503833,30.8875009,true,122
Utah,United States,39.4225192,-111.714358,true,123
Pahang,Malaysia,3.6168822,102.5994547,true,124
Chubut Province,Argentina,-43.7128356,-68.7461817,true,125
Stann Creek District,Belize,16.833333,-88.5,true,126
North Carolina,United States,35.6729639,-79.0392919,true,127
Kerala,India,10.3528744,76.5120396,true,128
Felidhu Atoll,Maldives,3.6152492,73.5869986394483,true,129
North Sulawesi,Indonesia,0.6555692,124.090151,true,130
Nantou County,Taiwan,23.90235,120.6909167,true,131
Arizona,United States,34.395342,-111.763275,true,132
Satun Province,Thailand,7.0366682,99.9615397,true,133
Ciego de Avila,Cuba,21.747668599999997,-78.72955802004637,true,134
Castelo Branco,Portugal,39.97675825,-7.446059929966704,true,135
Zhytomyr Oblast,Ukraine,50.9080532,28.3867504,true,136
Schleswig-Holstein,Germany,54.1853998,9.8220089,true,137
Meta,Colombia,3.5000086,-73.0000086,true,138
