ID,name,longitude,latitude,address,region,country,destination_id
12096,Black Rock,-156.6962,20.9267,"2605 Kaanapali Pkwy, Lahaina, HI 96761, USA",Hawaii,United States,2515
12103,Akitsushima (Wreck),119.9733,11.9871,"Busuanga, Palawan, Philippines",MIMAROPA,Philippines,2045
12104,Lusong Gunboat,120.0247,11.9708,"Coron, Philippines",MIMAROPA,Philippines,1782
12105,Thulusdoo Beyru,73.6553,4.3756,"Bodumagu, Thulusdhoo, Maldives",North Central Province,Maldives,1651
12106,La Gabinière la Calanque Sombre,6.3968,42.9898,Hyères,Provence-Alpes-Côte d&#039;Azur,France,502
12107,La Gabinière Ouest,6.394,42.9888,France,,France,502
12108,Divers Heaven,123.6879,9.5184,"Unnamed Road, Bohol, Philippines",Central Visayas,Philippines,380
12109,Colosseum ,73.6548,4.3686,"Unnamed Road, Thulusdhoo, Maldives",North Central Province,Maldives,1651
12111,Morro del Pont,3.1929,39.9397,,Islas Baleares,España,4267
12113,Santoson,121.902,11.9857,,Aklan,PHILIPPINEN,382
12114,"Petites Jorasses, Anses-d&#039;Arlet",-61.0916,14.4936,Les Anses-d&#039;Arlet,,Martinique,361
12115,La Caye des Boucaniers,-60.8925,14.4471,"N5, Le Marin, Martinique",Le Marin,Martinique,4189
12118,Renco,39.2887,-5.7443,"Unnamed Road, Tanzania",Zanzibar North Region,Tanzania,2788
12120,Dunnellon,-82.5655,29.1268,"SE Co Rd 336, Inglis, FL 34449, USA",Florida,United States,4487
12121,bare island,177.0275,-39.834,bare island ,Hawke&#039;s Bay,New Zealand,4488
12123,Ramon&#039;s Canyon,-87.978,17.873,"Unnamed Road, Belize",,Belize,3514
12127,Spotorno-Terzo Molo,8.428,44.2321,"Strada Statale 1, 169, 17028 Spotorno SV, Italy",Liguria,Italy,573
12130,San Francisco Wall,-87.024,20.4059,"Carretera Costera Sur, 77600 Q.R., Mexico",Quintana Roo,Mexico,4489
12134,Wave Break Island,153.4189,-27.9317,"Seaworld Dr, Main Beach QLD 4217, Australia",Queensland,Australia,287
12135,Cook Island - Turtle Sanctuary,153.5758,-28.1947,,NSW,Australia,4334
12136,Humlebæk strand,39.4522,-6.4137,"Unnamed Road, Tanzania",Zanzibar Central/South Region,Tanzania,4490
12137,Fleming Key,-81.7966,24.5926,"Mustin St, Key West, FL 33040, USA",Florida,United States,1230
12146,Karaneh کرانه,53.9744,26.5758,"Hormozgan Province, Kish, مسیر دوچرخه سواری، Iran",Hormozgan Province,Iran,1966
12149,Rudys Rock,123.6845,9.5126,"Unnamed Road, Bohol, Philippines",Central Visayas,Philippines,380
12151,Flowers Bay Wall,-86.5625,16.2975,"Flowers Bay Rd, Flowers Bay, Honduras",Bay Islands Department,Honduras,196
12153,Madonnina ,11.7868,42.0734,"Porto Turistico Riva di Traiano, 00053 Civitavecchia RM, Italy",Lazio,Italy,888
12154,Catalina point,-111.06,27.9275,Mexico,,Mexico,2538
12156,"Crystal Palace, Rottnest Island",115.5437,-32.0267,"Parker Point Rd, Rottnest Island WA 6161, Australia",Western Australia,Australia,4491
12157,Ledi Wracks,9.2922,47.1155,"Meierhofstrasse 1, 8885 Mols, Switzerland",Sankt Gallen,Switzerland,3509
12159,"uShaka Marine World, Durban",31.046,-29.8664,"49 Timeball Blvd, Point, Durban, 4001, South Africa",KwaZulu-Natal,South Africa,356
12160,Christmas Tree Reef,-112.2948,33.8579,"Sunset Ridge Rd, Morristown, AZ 85342, USA",Arizona,United States,1280
12161,Dreischor Gemaal,4.0013,51.7078,"Zuid Langeweg, 4315 Dreischor, Netherlands",Zeeland,Netherlands,4003
12167,Mill Beach,-124.2892,42.0471,"901 Wharf St, Brookings, OR 97415, USA",Oregon,United States,2433
12176,"Yellowstone, Aqaba",34.9771,29.4107,"Unnamed Road, Jordan",Aqaba Governorate,Jordan,4372
12178,Cenote Yaalutzil,-89.6039,20.6225,"Mucuyché, Yucatán, Mexico",Yucatán,Mexico,4492
12180,Kashaavaru Kandu (Golden Wall),73.6032,3.4464,"Unnamed Road, Keyodhoo, Maldives",North Central Province,Maldives,3316
