ID,name,longitude,latitude,address,region,country,destination_id
6683,Glassfish Cove,72.9324,5.7323,"North Province, Maldives",North Province,Maldives,
6690,Passe Sada Nord,44.9587,-12.8994,,,,
6691,Morne Rouge,44.9516,-12.8809,,,,
6699,Block 24,178.1751,-17.3182,,,,
6700,Aow Lok Gum / อ่าวลกกำ,99.2311,10.2192,66CJ+32P ตำบล ด่านสวี อำเภอสวี ชุมพร ประเทศไทย,ชุมพร,ประเทศไทย,
6701,tombant de Papeari,-149.3664,-17.7789,Polynésie française,Îles du Vent,Polynésie française,
6711,Dhigu Faru Kuda Thila,72.781,3.654, ,Alif Dhaalu,Maldives,
6724,Tree Peaks - Saxon Reef,145.9798,-16.466,,,,
6726,Safari Kuda Giri,72.928,3.9502,"Alifu Alifu Atoll, Maldives",North Central Province,Maldives,
6728,Bulaloghi Faru,72.7259,3.7422, ,Alif Dhaalu,Maldives,
6729,Mage Modu Thila,72.7357,3.5503, ,Alif Dhaalu,Maldives,
6753,Queimada Grande - Ferradura,-46.6764,-24.4773,Brazil,State of São Paulo,Brazil,
6759,Nemo Pool,100.6017,13.8033,,,,
6761,Kylie's Reef,-80.6154,24.8977,"352 Brown Dr, Summerland Key, FL 33042, USA",Florida,United States,
6772,Lohi Kandu Thila,73.3618,3.8644,,,,
6775,Vaagali Faru South,73.3525,3.9479,,,,
6783,Gaali Gili West,72.8428,4.2261,"Alifu Alifu Atoll, Maldives",North Central Province,Maldives,
6791,Saco da Piscirica,-44.362,-23.1789,,RJ,Brasil,
6795,HALAAKU THARI THILA,73.5627,5.2746,,,,
6796,THIN SEHLI THILA,73.5608,5.2769,,,,
6797,GAA VEHTUNU THILA,73.5638,5.2748,,,,
6800,Shaab Nakari,34.9844,24.9436,Ägypten,Red Sea Governorate,Ägypten,
6801,TALABO THILA,73.5337,5.3006,,,,
6802,SALLEYDHOO THILA,73.5522,5.3457,,,,
6804,NEYFAI HAEH THILA,73.5587,5.2781,,,,
6806,MADUVVARI HAA,73.537,5.2812,,,,
6807,HUDHU THILA,73.6196,5.3552,,,,
6808,MADUVVARI IRUMATHI KANN,73.4958,5.288,,,,
6809,MADUVVARI DHEKUNU KANN,73.4988,5.2766,,,,
6810,VARIHURAA KANN,73.4891,5.2994,,,,
6811,LHOHI DEKUNU KANN,73.4728,5.3168,,,,
6812,ALIGHAA BEYRU EDGE,73.514,5.242,,,,
6813,ALIGHAA BEYRU FARU,73.535,5.2436,,,,
6814,FAADHOO KANDU,73.6396,5.4292,,,,
6816,MEYYAFUSHI KANDU,73.6163,5.4395,,,,
6817,MEYYAFUSHI BEYRU,73.6087,5.4436,,,,
6818,DHIHFUSHIMAADHOO BEYRU,73.6474,5.4167,,,,
6819,IHI THILA,73.483,5.4314,,,,
6820,NEMO THILA,73.4976,5.4423,,,,
6828,Карьер Тальков Камень,60.7279,56.4928,,,,
6840,Windjammer Wreck,-82.9321,24.6189,,FL,United States,
6849,Manta Ridge,130.5448,-0.5628,Indonésie,West Papua,Indonésie,
6860,Wairterang Wreck,122.4743,-8.6085,"Wairterang, Flores",East Nusa Tenggara,Indonesia,
6861,Pangabatang South,122.4611,-8.4828,"Pulau Pangabatang, Flores",,,
6862,The Crack at Pulau Babi,122.4958,-8.4211,"Pulau Babi, Flores",East Nusa Tenggara,Indonesia,
6870,Secret Reef,102.3172,11.9057,,,,
6871,Lao Lao,130.723,-0.5,Indonésie,Papua Barat,Indonésie,
6872,Parcel da Laje Branca,-44.3462,-23.1375,,RJ,Brasil,
6876,Fish Lake,-111.6994,38.5614,"Sevier County, UT, USA",Utah,United States,
6914,Savage A2 AJ2 Bomber Wreck,120.1315,14.7409,,,,
6915,Kyo Maru Wreck,120.1538,14.7013,,,,
6916,Gaali Gili East,72.837,4.2422,,Baa,Maldives,
6921,Santa Barbara  Island Arch Reef,-119.0888,33.498,,CA,United States,
6926,Yapascua,-67.8927,10.4697,Venezuela,Carabobo,Venezuela,
6930,Rihiveli Wreck,73.3929,3.8206,,,,
6936,WaterWorld Universal Studios,-118.3541,34.1369,Tony Curtis Dr,CA,United States,
6937,Mosh Pit,-80.604,24.8753,,FL,United States,
6944,Brady’s Corner (Shark Fin Cave),174.738,-35.4794,,,New Zealand,
6949,Test 3/10/22,-80.6707,24.8997,,,,
6952,Deep  Dive Dubaï ,55.294,25.1289,,Dubai,United Arab Emirates,
6955,Amingiri Sandbank Reef,73.3773,4.2493,,,,
6956,Anemone Reef,73.3844,4.2565,,,,
6957,Mas Giri,73.3749,4.2682,,,,
6958,Thin Thila,73.3644,4.2688,,,,
6959,Hulangu Kandu,73.351,4.2721,,,,
6960,Moon Valley,73.3904,4.2025,,,,
6961,Goldies&#039; Garden,93.0365,11.8432,,AN,India,
6962,Baros Thila,73.4257,4.2812,,,,
6963,Black Coral,73.4293,4.2797,,,,
6964,Giraavaru Caves,73.4101,4.1847,,,,
6966,Mas Thila,73.3667,4.3879,,,,
6967,Nakatcha Thila,73.3754,4.4107,,,,
6972,Shark Point,73.3477,4.4027,,,,
6973,Rasfari Beyru,73.3518,4.4168,,,,
6975,Kuda Thila,73.3703,4.4464,,,,
6976,Buraco do Gaba,-35.0634,-5.6421,,,,
6990,Batente das Agulhas,-35.0726,-5.5644,,,,
6991,Laje da Serra,-35.0632,-5.6404,,,,
7001,fourchue,-62.9099,17.9561,Saint-Barthélemy,,Saint-Barthélemy,
7002,Coral Garden,73.42,3.6621,"


Vaavu Atoll, Maldives",North Central Province,Maldives,
7003,Rihiveli Bay,73.4164,3.82,,,,
7007,Api’s Legend,177.3832,-16.9131,,,,
7014,Kunaavashi Kandu,73.3592,3.6383,,,,
7017,Le Nahoon,-61.0998,14.5198,Martinique,Le Marin,Martinique,
7027,Genburugau Giri,72.939,3.898,"Alifu Alifu Atoll, Maldives",North Central Province,Maldives,
7035,Landing Bay Pinnacle &amp; Teravana Cave,174.7351,-35.4655,,,New Zealand,
7048,Guanxuma de Búzios ,-45.1395,-23.7964,Brasil,São Paulo,Brasil,
7049,Ranni Thila,72.9557,3.916,,North Central Province,,
7062,The Gutter,150.8988,-34.593,Track to Bass Trig ,New South Wales,Australia,
7066,Caves,35.4873,-23.2245, ,Inhambane Province,Mozambique,
7069,Dejguny tor,21.5751,54.0492,"Droga bez nazwy, 11-520, Polska",Warmińsko-Mazurskie,Polska,
7074,Farukolhu Kandu,73.4435,3.6818,,,,
7077,Kudhi Boli,73.3523,3.6275,,,,
7078,Alibaba Faru,73.5065,3.579,,,,
7080,Capim Açu,-32.4575,-3.8822,,,,
7081,Barro Vermelho,-32.4646,-3.8798,,,,
7082,Portal da Sapata,-32.4693,-3.8773,,,,
7083,Canal da Rata,-32.3896,-3.8193,,,,
7086,Bolike Faru,73.5067,3.6079,,,,
7087,Tinwana Kandu,73.5063,3.5576,,,,
7091,Fushi Kandu,73.6571,3.4663,,,,
7095,Venparu Kandu,73.5092,3.5505,,,,
7099,Bolzaneto,9.5533,44.1753,,,,
7102,Piaynemo (Galaxy),130.2761,-0.5659, ,West Papua,Indonesia,
7106,SS Glanmire wreck,-2.1366,55.9225,,,,
7116,Blue Maomao Arch (Bay of Islands),174.3413,-35.19,,,,
7117,True Love Reef,173.937,-34.967,,,,
7136,Lady Musgrave Aquarium,152.4017,-23.8995,,,,
7137,Turtle Bommie,152.4029,-23.899,,,,
7138,Manta Bommie,152.3859,-23.9113,,,,
7139,The Campgrounds,152.3909,-23.904,,,,
7140,Entrance Bommies,152.4069,-23.8929,,,,
7141,Jeff’s Edge,152.4177,-23.8839,,,,
7142,The Canyons,152.4295,-23.89,,,,
7144,The Caves,152.4114,-23.9178,,,,
7162,Ram Faru Tulu,73.3736,3.89,,,,
7167,Hastings Reef - Fish Bowl,145.9944,-16.5276,,QLD,Australia,
7189,Bio Rocks,116.0422,-8.3589,Jalan Raya Trawangan ,West Nusa Tenggara,Indonesia,
7195,Nilson Reef,34.755,25.3183, ,Roten Meeres,Ägypten,
7201,Calypso Bay,174.7399,-35.4894, ,Northland,New Zealand,
7213,Pante Peunateung,95.2121,5.8849, ,Aceh,Indonesia,
7215,Nursery - Neil,93.0116,11.8464,,,,
7216,Neil Lighthouse,93.0319,11.842,,,,
7219,Mermaid Lintea,123.9104,-5.8356,,,,
7220,Gili Gede Wall,115.9241,-8.727, ,West Nusa Tenggara,Indonesia,
7221,Gili anyaran -Sunken Island,115.9261,-8.7112, ,West Nusa Tenggara,Indonesia,
7226,Galaxy,123.8539,-5.779,,,,
7227,Lorenzos Delight,123.8225,-5.8106,,,,
7228,Pastell,123.822,-5.8146,,,,
7229,Inka´s Palette,123.822,-5.8189,,,,
7230,Brians Choice,123.8241,-5.8212,,,,
7231,Pinki`s Wall,123.8503,-5.7835,,,,
7232,Channel,123.8334,-5.8346,,,,
7257,Swordfish Island,-123.5801,48.3106,,,,
7261,The Toilet Bowl,-123.5821,48.3099,,,,
7262,General Rogers (Wreck),-64.8485,18.3332,,,,
7263,Jan’s Tunnel,174.736,-35.4875, ,Northland,New Zealand,
7264,Finger Lake Strip Pit,-92.3169,39.0868,,,,
7280,Pinakitanga Point,174.7415,-35.4857, ,Northland,New Zealand,
7281,Koh Island,130.6951,-0.5529, ,Papouasie Occidentale,Indonésie,
7288,Jessor Canyon Cave,32.7161,-27.5241, ,KwaZulu-Natal,South Africa,
7290,Dean Richmond wreck,-79.8979,42.2751, ,Pennsylvania,United States,
7294,Crossover,130.6833,-0.549, ,West-Papua,Indonesien,
7297,Face of Oahe Dam,-100.4037,44.4529,State Highway 204 ,South Dakota,United States,
7299,Batu Putih,115.9168,-8.7158, ,West Nusa Tenggara,Indonesia,
7301,Gili Layar Corner,115.91,-8.7305, ,West Nusa Tenggara,Indonesia,
7302,Mike’s Point,130.6735,-0.5155, ,West-Papua,Indonesien,
7304,Fort Loudoun Lake,-84.0525,35.8355,,,,
7316,Batu Rufas,130.2845,-0.5659, ,Papua Barat,Indonesia,
7317,Pasir Timbul,130.6912,-0.55, ,Papua Barat,Indonesia,
7318,New Reef (Dom Te Te),130.6916,-0.5417, ,Papua Barat,Indonesia,
7320,Rockport ,-111.4004,40.7797,UT 302 ,Utah,United States,
7323,Rock Island,-93.4808,36.6683,,,,
7324,Gobblers Cove,-93.3826,36.6335,,,,
7326,Queens Wall,34.8036,25.2225, ,Roten Meeres,Ägypten,
7327,Koh Jorakea,99.3755,10.556, ,,,
7329,Neru Faru - Hilton Maldives Amingiri Housereef,73.3768,4.2539, ,Malé Atoll,Maldives,
