ID,name,longitude,latitude,address,region,country,destination_id
3243,Bualo,124.7009,1.6139,"Unnamed Road, Bunaken Kepulauan, Kota Manado, Sulawesi Utara, Indonesia",Sulawesi Utara,Indonesia,40
11297,Devil’s Grotto North,-81.3875,19.2928,"George Town, Cayman Islands",George Town,Cayman Islands,218
11298,Fisherman Bay 2,109.3071,12.1648,"Vĩnh Nguyên, Nha Trang, Khanh Hoa Province, Vietnam",Khanh Hoa Province,Vietnam,4185
11309,Gregors Fingers,3.1967,39.8924,"Unnamed Road, 07400, Illes Balears, Spain",Illes Balears,Spain,1907
